Site,Date,Time,cms,uncertainty ( IVE%),lat,lng
Glenora,8/3/2022,9:14,0.035,5.3,48.746394,-123.716815
Glenora,7/21/2022,13:53,0.053,5.7,48.746394,-123.716815
Glenora,7/4/2022,11:17,0.101,4.1,48.746394,-123.716815
Glenora,8/19/2022,15:46,0.02,4.8,48.746394,-123.716815
Glenora,9/5/2022,19:01,0.022,6.3,48.746394,-123.716815
Glenora,9/13/2022,15:35,0.018,6,48.746394,-123.716815
Glenora,6/28/2023,19:43,0.015,11.2,48.746394,-123.716815
Glenora,7/8/2023,14:52,0.014,13.6,48.746394,-123.716815
Glenora,8/11/2023,14:34,0.017,10.4,48.746394,-123.716815
Glenora,9/21/2023,11:52,0.011,17.7,48.746394,-123.716815
Fellows,7/20/2022,13:37,0.046,11.6,48.674958,-123.89559
Fellows,8/2/2022,15:41,0.026,9.3,48.674958,-123.89559
Fellows,8/19/2022,9:01,0.012,8.2,48.674958,-123.89559
Fellows,8/29/2022,12:35,0.01,7.9,48.674958,-123.89559
Fellows,9/13/2022,11:02,0.009,17.2,48.674958,-123.89559
Fellows,6/27/2023,15:30,0.027,3.8,48.674958,-123.89559
Fellows,7/10/2023,14:49,0.012,8.5,48.674958,-123.89559
Fellows,8/14/2023,15:36,0.007,11.2,48.674958,-123.89559
Fellows,9/26/2023,9:19,0.011,9.7,48.674958,-123.89559
GrantLake,7/22/2022,16:24,0.013,18.5,48.630407,-123.775204
GrantLake,8/4/2022,14:36,0.017,9.3,48.630407,-123.775204
GrantLake,8/19/2022,13:06,0.016,4.4,48.630407,-123.775204
GrantLake,8/31/2022,13:00,0.011,8.6,48.630407,-123.775204
GrantLake,9/16/2022,16:31,0.009,5.7,48.630407,-123.775204
GrantLake,7/1/2023,9:33,0.01,9.2,48.630407,-123.775204
GrantLake,7/8/2023,19:55,0.007,8.4,48.630407,-123.775204
GrantLake,8/16/2023,16:29,0.008,9.4,48.630407,-123.775204
GrantLake,9/22/2023,16:22,0.004,15.5,48.630407,-123.775204
Heatherbank,8/3/2022,12:29,0.005,5.6,48.702008,-123.647786
Heatherbank,8/30/2022,18:22,0.0001,176.5,48.702008,-123.647786
Heatherbank,9/12/2022,16:59,0.0001,238.7,48.702008,-123.647786
Heatherbank,7/1/2023,15:01,0.005,34.8,48.702008,-123.647786
Heatherbank,7/8/2023,9:44,0.002,29.8,48.702008,-123.647786
Heatherbank,8/15/2023,9:09,0.001,50.9,48.702008,-123.647786
Heatherbank,9/22/2023,18:44,0.001,36.7,48.702008,-123.647786
Kelvin,7/4/2022,17:41,0.312,3.4,48.748352,-123.695518
Kelvin,7/21/2022,15:02,0.151,5.1,48.748352,-123.695518
