id,name,codename,descriptio,active,lat,lng,COLUMN,ROW,Subbasin
"52538",Kelvin_KoksilahRd_1,kelvin_koksilahrd_1,,TRUE,48.748351999999997,-123.695518000000007,"69","6","27"
"52539",Mainstem_BrightAngel,koksilah_brightangel,,TRUE,48.736294999999998,-123.678613999999996,"73","10","3"
"52540",Neel_RiversideRd,neel_riversiderd,,TRUE,48.718893000000001,-123.671058000000002,"75","17","87"
"52541",Norrie_FleetwoodRd,norrie_fleetwoodrd,,TRUE,48.723624999999998,-123.694855000000004,"69","15","105"
"52542",Norrie_MountainRd_2,Norrie_mountainrd_2,,TRUE,48.726154999999999,-123.688863999999995,"70","14","105"
"52543",Norrie_MountainRd_3,Norrie_mountainrd_3,,TRUE,48.726359000000002,-123.707676000000006,"66","14","183"
"52544",Neel_ShawRd_1,neel_shawrd_1,,TRUE,48.719006000000000,-123.666968999999995,"76","17","87"
"52545",Neel_ShawRd_2,neel_shawrd_2,,TRUE,48.719185000000003,-123.665038999999993,"76","17","87"
"52546",Unknown_SideRd_3,unknown_siderd_3,,FALSE,48.710487999999998,-123.663120000000006,"77","20","6"
"52547",Kelvin_TC_Trail_1,kelvin_tc_trail_1,,FALSE,48.715659000000002,-123.731486000000004,"60","18","54"
"52548",Kelvin_TC_TrailBridge,kelvin_tc_trail_2,,TRUE,48.703234999999999,-123.726847000000006,"61","22","61"
"52549",FOS_RiversideRd_8,riversiderd_8,,TRUE,48.683627999999999,-123.668861000000007,"75","30","162"
"52550",FOS_RiversideRd_7,riversiderd_7,,TRUE,48.684195000000003,-123.668235999999993,"75","30","162"
"52551",FOS_RiversideRd_9,riversiderd_9,,FALSE,48.678232999999999,-123.676337000000004,"73","32","11"
"52552",Kelvin_HawthorneRd_3,kelvin_hawthornerd_3,,FALSE,48.694284000000003,-123.720965000000007,"62","26","102"
"52553",Kelvin_ColpmanRd,kelvin_colpmanrd,,TRUE,48.684066000000001,-123.718902000000000,"63","29","102"
"52554",Kelvin_HawthorneRd_1,kelvin_hawthornerd_1,,TRUE,48.687609999999999,-123.717374000000007,"63","28","102"
"52555",Kelvin_MountainRd_5,kelvin_mountainrd_5,,TRUE,48.687289999999997,-123.715805000000003,"64","28","158"
"52556",Kelvin_TC_Trail0,glenora_tc_trail,,TRUE,48.728833000000002,-123.742487999999994,"57","13","187"
"52557",Norrie_KoksilahRd_2,norrie_koksilahrd_2,,TRUE,48.730514999999997,-123.685333000000000,"71","12","105"
"52558",Kelvin_TC_Trail_3,kelvin_tc_trail_3,,FALSE,48.710462999999997,-123.728947000000005,"60","20","54"
"52559",Norrie_MountainRd_4_test,norrie_mountainrd_4,,FALSE,48.725551000000003,-123.709023999999999,"65","14","183"
"52560",Patrolas_HillbankRd,patrolas_hillbankrd,,TRUE,48.719498000000002,-123.643569999999997,"81","17","68"
"52561",Glenora_WaterRd,glenora_waterrd,,TRUE,48.743079999999999,-123.766845000000004,"51","8","73"
"52562",Unknown_Thain,unknown_thain,,FALSE,48.697145999999996,-123.627013000000005,"85","25","154"
"52563",HeatherbankBrook_KingburnDr_1,heatherbankbrook_kingburndr_1,,TRUE,48.697116999999999,-123.634369000000007,"84","25","154"
"52564",Glenora_MarshallRd,glenora_marshallrd,,TRUE,48.752281000000004,-123.750912999999997,"55","4","53"
"52565",HeatherbankBrook_KingburnDr_2,heatherbankbrook_kingburndr_2,,TRUE,48.694833000000003,-123.637163999999999,"83","26","154"
"52566",Patrolas_TommyRd_Culvert,tommyrd_culvert,,FALSE,48.712049000000000,-123.611923000000004,"89","19","88"
"52567",Glenora_DoupeRd,glenora_douperd,,TRUE,48.746394000000002,-123.716814999999997,"64","6","37"
"52568",Glenora_McLayRd,glenora_mclayrd,,TRUE,48.753269000000003,-123.725820999999996,"61","4","195"
"52569",FOS_RiversideRd_2,unname_riversiderd_2,,FALSE,48.711457000000003,-123.665751999999998,"76","19","6"
"52570",FOS_RiversideRd_6,riversiderd_6,,TRUE,48.690963000000004,-123.657657999999998,"78","27","9"
"52571",FOS_RiversideRd_10,riversiderd_10,,TRUE,48.673150000000000,-123.688883000000004,"70","34","149"
"52572",Glenora_GlenoraRd,glenora_glenorard,,TRUE,48.754587999999998,-123.754682000000003,"54","3","53"
"52573",Glenora_CavinRd,glenora_cavinrd,,TRUE,48.746574000000003,-123.756652000000003,"54","6","57"
"52574",FOS_RiversideRd,unnamed_riversiderd,,TRUE,48.714036999999998,-123.669835000000006,"75","18","87"
"52575",FOS_RiversideRd_3,riversiderd_3,,FALSE,48.709882999999998,-123.661473000000001,"77","20","6"
"53653",FOS_KapoorMain2.0,trb_b1,TributaryB,TRUE,48.644531999999998,-123.726253999999997,"61","44","129"
"53654",GrantLake_KapoorMain6.0,gl1,GrantLake,TRUE,48.630406999999998,-123.775204000000002,"49","49","63"
"53655",Boucicault_GlenEagleRd,bc1,BoucicaultCreek,TRUE,48.660615000000000,-123.710234000000000,"65","38","143"
"53659",Mainstem_KoksilahRiverPark,upkok1,Mainstem,TRUE,48.640397000000000,-123.743449999999996,"57","46","21"
"53660",FOS_SilverMineFSR0.5,trb_d1,TributaryD,TRUE,48.641438000000001,-123.746611999999999,"56","45","135"
"53661",WildDeer_SilverMineFSR1.0,wdc1,WildDeerCreek,TRUE,48.640523000000002,-123.750598999999994,"55","46","48"
"53662",WildDeer_EagleMain4.7,wdc2,WildDeerCreek,TRUE,48.644311999999999,-123.774203999999997,"49","44","92"
"53663",WildDeer_EagleMain4.0,wdc3,WildDeerCreek,TRUE,48.648130000000002,-123.781150999999994,"47","43","92"
"53664",WildDeer_WildDeerMain4.8,wdc5,WildDeerCreek,TRUE,48.671869999999998,-123.807907999999998,"41","34","92"
"53665",WildDeer_EagleMain1.5,wdc4,WildDeerCreek,TRUE,48.662447999999998,-123.797003000000004,"44","37","92"
